,Sig.,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups
,,Group A,Group A,Group A,Group A,Group A,Group A,Group B,Group B,Group B,Group B,Group B,Group B,Group C,Group C,Group C,Group C,Group C,Group C
,,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean
Feature,,,,,,,,,,,,,,,,,,,
Smoothed_100Px_Nucleus_Eccentricity,3.3615791262462655e-30,367.0,0.715638839188011,0.03736274116714568,0.0019503192133912175,0.7194562533569112,0.7118214250191107,400.0,0.71137740173,0.037505096720323504,0.0018752548360161723,0.7150483039591645,0.7077064995008354,76.0,0.7705649295,0.05602404789902039,0.006426399031576636,0.7830775304814,0.7580523285185999
Smoothed_100Px_Nucleus_HematoxylinODMean,3.7674592057807326e-56,367.0,0.6886308764441417,0.07227352327025212,0.0037726472054838934,0.6960151839962547,0.6812465688920286,400.0,0.61011618837,0.050125026867669654,0.002506251343383484,0.6150222968447384,0.6052100798952617,76.0,0.6872537982631579,0.0975393677602493,0.011188532817994095,0.7090385716690683,0.6654690248572473
Smoothed_100Px_Nucleus_HematoxylinODSum,7.360236525470168e-62,367.0,416.2939823594005,72.2994505135387,3.774000596566895,423.68093894161126,408.90702577718974,400.0,344.58392006249994,59.38121012173721,2.9690605060868593,350.3959999041245,338.7718402208754,76.0,471.2987073947368,91.99384955449847,10.552418253561655,491.8449259452624,450.75248884421137
Smoothed_100Px_Nucleus_HematoxylinODStdDev,8.370315739847003e-159,367.0,0.27191912828065395,0.025815712517372448,0.001347569224238,0.2745567630918473,0.2692814934694605,400.0,0.3180654502675,0.02332841148007899,0.0011664205740039495,0.3203487750738238,0.3157821254611762,76.0,0.37110400710526315,0.0395801922958278,0.004540159431142646,0.37994398157225334,0.36226403263827295
Smoothed_100Px_Nucleus_HematoxylinODMax,6.812046568013325e-41,367.0,1.5821237207656675,0.13947987702602005,0.007280790315366286,1.5963746146295203,1.5678728269018152,400.0,1.7097080583675,0.11161580093486448,0.005580790046743231,1.7206327253672187,1.6987833913677812,76.0,1.7393922611315789,0.1955158546105645,0.02242720663440636,1.783059435604386,1.695725086658772
Smoothed_100Px_Nucleus_HematoxylinODMin,3.349312947683339e-132,367.0,0.10757085455313352,0.07199984289628793,0.0037583612062505227,0.11492719972067085,0.10021450938559619,400.0,-0.00023402087499999988,0.059095973285093216,0.002954798664254661,0.0055501407200117345,-0.0060181824700117365,76.0,-0.10029779482894736,0.06545162382614571,0.007507816156547583,-0.08567960704649016,-0.11491598261140457
Smoothed_100Px_Nucleus_HematoxylinODRange,3.1102034360950737e-91,367.0,1.4745528668201635,0.16570431047856263,0.008649694598753492,1.491483155201278,1.457622578439049,400.0,1.7099420560875,0.15305593453154295,0.007652796726577151,1.7249227765865953,1.6949613355884048,76.0,1.8396899566052631,0.2139529318738429,0.024542084439797985,1.8874749304822556,1.7919049827282707
Smoothed_100Px_Nucleus_EosinODMean,5.330121562612021e-19,367.0,0.01737232615803815,0.04236283479588797,0.002211321976257724,0.02170060831113684,0.013044044004939451,400.0,0.03659117764,0.03384106571403768,0.001692053285701884,0.03990345395522536,0.03327890132477464,76.0,-0.006012489947368421,0.062135258545154004,0.0071274029691868026,0.007865009558789778,-0.019889989453526623
Smoothed_100Px_Nucleus_EosinODSum,1.5061141725319325e-15,367.0,11.878631551242506,26.74036157194115,1.3958355120005033,14.610739313078916,9.146523789406096,400.0,22.206270467630002,19.99167229209496,0.9995836146047481,24.163003839870857,20.249537095389147,76.0,-2.242075294986842,41.760566635615696,4.790265520780135,7.084871376386451,-11.569021966360134
Smoothed_100Px_Nucleus_EosinODStdDev,6.468779599674221e-177,367.0,0.10554389904359673,0.015277301796628685,0.0007974686624155243,0.10710480668899984,0.10398299139819363,400.0,0.13412070643250001,0.018930876288977366,0.0009465438144488691,0.1359736118252646,0.13226780103973543,76.0,0.1923930254736842,0.03417557245958577,0.003920207018131213,0.2000259138052893,0.18476013714207903
